step,joint,action,target_q,q_curr,tau
310,R_foot_roll,-0.858292,-0.085829,-0.005200,-6.430978
320,L_hip_roll,-0.647769,-0.097165,-0.000512,-19.733984
320,L_hip_yaw,0.152651,0.038163,-0.006342,5.102828
320,L_hip_pitch,-0.604425,-0.281106,-0.128514,-18.295558
320,L_knee,-0.052684,-0.333171,-0.351299,1.041486
320,L_foot_pitch,0.398396,0.229840,0.225178,0.645933
320,L_foot_roll,0.057231,0.005723,-0.005725,0.740059
320,R_hip_roll,-0.337842,-0.050676,-0.000517,-10.724645
320,R_hip_yaw,0.404666,0.101167,0.008670,11.098832
320,R_hip_pitch,-1.203738,-0.170934,0.123819,-34.647746
320,R_knee,-0.053461,0.306635,0.344653,-0.873327
320,R_foot_pitch,1.557578,-0.034242,-0.224027,14.233996
320,R_foot_roll,-0.852200,-0.085220,-0.005820,-6.297957
330,L_hip_roll,-0.361132,-0.054170,0.000333,-11.006755
330,L_hip_yaw,0.150050,0.037513,0.008031,1.384871
330,L_hip_pitch,-0.679334,-0.299833,-0.129619,-20.247305
330,L_knee,-0.097180,-0.344295,-0.348402,0.799524
330,L_foot_pitch,0.608825,0.250883,0.223837,2.212652
330,L_foot_roll,0.380007,0.038001,0.000310,2.227914
330,R_hip_roll,-0.935636,-0.140345,0.002441,-29.565780
330,R_hip_yaw,0.330823,0.082706,0.008437,8.954356
330,R_hip_pitch,-1.315030,-0.198757,0.112359,-35.914616
330,R_knee,0.086909,0.341727,0.320475,11.814465
330,R_foot_pitch,2.108244,0.020824,-0.213337,14.450000
330,R_foot_roll,-0.829227,-0.082923,-0.006343,-6.081800
340,L_hip_roll,-0.077706,-0.011656,-0.000812,-1.482420
340,L_hip_yaw,0.123003,0.030751,0.031517,-2.367528
340,L_hip_pitch,-0.611480,-0.282870,-0.133433,-17.431278
340,L_knee,-0.167968,-0.361992,-0.353891,1.075695
340,L_foot_pitch,0.725553,0.262555,0.229431,1.787594
340,L_foot_roll,0.581629,0.058163,0.016329,1.427548
340,R_hip_roll,-1.273955,-0.191093,0.005114,-39.866601
340,R_hip_yaw,0.272921,0.068230,0.007423,7.444417
340,R_hip_pitch,-1.238199,-0.179550,0.097221,-31.677071
340,R_knee,0.067143,0.336786,0.294661,14.886600
340,R_foot_pitch,2.276665,0.037667,-0.202935,14.450000
340,R_foot_roll,-0.923506,-0.092351,-0.006660,-6.871280
350,L_hip_roll,0.060074,0.009011,-0.004225,3.908588
350,L_hip_yaw,0.100465,0.025116,0.047519,-3.674979
350,L_hip_pitch,-0.519050,-0.259762,-0.139770,-13.711256
350,L_knee,-0.251247,-0.382812,-0.365601,0.800146
350,L_foot_pitch,0.770491,0.267049,0.241827,0.678979
350,L_foot_roll,0.702881,0.070288,0.038728,0.320995
350,R_hip_roll,-1.483768,-0.222565,0.006252,-45.884070
350,R_hip_yaw,0.213322,0.053331,0.005378,6.002179
350,R_hip_pitch,-1.021480,-0.125370,0.082295,-23.501680
350,R_knee,-0.068536,0.302866,0.273160,10.916330
350,R_foot_pitch,2.059935,0.015994,-0.195241,14.450000
350,R_foot_roll,-1.012713,-0.101271,-0.006456,-7.649490
360,L_hip_roll,0.137863,0.020679,-0.009087,7.536001
360,L_hip_yaw,0.078571,0.019643,0.048671,-2.973267
360,L_hip_pitch,-0.417930,-0.234482,-0.147461,-9.658925
360,L_knee,-0.309131,-0.397283,-0.380242,1.370516
360,L_foot_pitch,0.883687,0.278369,0.254975,0.711101
360,L_foot_roll,0.729677,0.072968,0.059237,-0.657267
